Entity,languages,Affiliation,English,Spanish,EN_sentiment,ES_sentiment,sentimentDiff_EN-ES,sentimentDiff_ES-EN
Barack Obama,en,D,"I know Joe Biden, and I know he’ll make a great president – but Nevada, he can’t win without you.\n\nPlease, take just a minute to make your plan to vote for Joe Biden on Election Day right now.","Ich kenne Joe Biden, und ich weiß",2.185,4.4984,-2.3134,2.3134
Barack Obama,en,D,"I know Joe Biden, and I know he’ll make a great president – but Arizona, he can’t win without you.\n\nPlease, take just a minute to make your plan to vote for Joe Biden on Election Day right now.","Ich kenne Joe Biden, und ich weiß",2.2173,4.4984,-2.2811000000000003,2.2811000000000003
Barack Obama,en,D,"I know Joe Biden, and I know he’ll make a great president – but Georgia, he can’t win without you.\n\nPlease, take just a minute to make your plan to vote for Joe Biden on Election Day right now.","De en es: Ich kenne Joe Biden, und ich weiß",2.2352,4.2584,-2.0232,2.0232
Barack Obama,en,D,"I know Joe Biden, and I know he’ll make a great president – but Florida, he can’t win without you.\n\nPlease, take just a minute to make your plan to vote for Joe Biden on Election Day right now.","Ich kenne Joe Biden, und ich weiß",2.1649,4.4984,-2.3335000000000004,2.3335000000000004
Barack Obama,en,D,"I know Joe Biden, and I know he’ll make a great president – but Pennsylvania, he can’t win without you.\n\nPlease, take just a minute to make your plan to vote for Joe Biden on Election Day right now.","Ich kenne Joe Biden, und ich weiß",2.2034,4.4984,-2.2950000000000004,2.2950000000000004
Barack Obama,en,D,"I know Joe Biden, and I know he’ll make a great president – but Wisconsin, he can’t win without you.\n\nPlease, take just a minute to make your plan to vote for Joe Biden on Election Day right now.","De en es: Ich kenne Joe Biden, und ich weiß",2.2674,4.2584,-1.991,1.991
Barack Obama,en,D,"The 2020 election isn’t a few weeks away – it’s already here. Millions of people are voting, and I’m asking you to join them.\n\nClick below to confirm where you can vote early in Iowa this year, and then make a plan for how and when you’re going to cast your ballot for Joe and Kamala now.",en to es to es to es – the 2020 election,3.0169,3.3455,-0.3285999999999998,0.3285999999999998
Barack Obama,en,D,"The 2020 election isn’t a few weeks away – it’s already here. Millions of people are voting, and I’m asking you to join them.\n\nClick below to confirm where you can vote early in Minnesota this year, and then make a plan for how and when you’re going to cast your ballot for Joe and Kamala now.",en to es to es to es – the 2020 election,2.992,3.3455,-0.3534999999999999,0.3534999999999999
Barack Obama,en,D,"The 2020 election isn’t a few weeks away – it’s already here. Millions of people are voting, and I’m asking you to join them.\n\nClick below to confirm where you can vote early in Wisconsin this year, and then make a plan for how and when you’re going to cast your ballot for Joe and Kamala now.",en to es to es to es – the 2020 election,3.0158,3.3455,-0.3296999999999999,0.3296999999999999
Joe Biden for President 2020,en,D,Here's the truth: Joe Biden is ready to tackle the coronavirus head on and help rebuild the country.,Here's the truth: Joe Biden is ready to,3.7834,3.9554,-0.17200000000000015,0.17200000000000015
Joe Biden for President 2020,en,D,"Here's the truth: as president, Joe Biden will unite the country. He won't be just a president for red America or blue America. He'll be a president for all of America.","Hier's the truth: as president, Joe Biden",3.1426,3.6134,-0.4708000000000001,0.4708000000000001
Joe Biden for President 2020,en,D,“The economic outlook is strongest under the scenario in which Biden and the Democrats sweep Congress and fully adopt their economic agenda.” - Moody’s Analytics chief economist Mark Zandi,„Die wirtschaftlichen Aussichten sind stär,3.6465,4.2577,-0.6111999999999997,0.6111999999999997
Joe Biden for President 2020,en,D,Here's the truth: over 70 former GOP National Security Officials endorsed Joe because they know he has what it takes to reassert America's role as a global leader and live up to our ideals.,De en  Hier's the truth: over 70 former,3.9849,3.242,0.7429000000000001,-0.7429000000000001
Joe Biden for President 2020,en,D,Here's the truth: 780 Retired Military and National Security leaders endorsed Joe because they understand he has the experience and wisdom to navigate America through this crisis and the next one.,En to es: Here's the truth: 780 Retired Military and,3.9389,2.6005,1.3384,-1.3384
Joe Biden for President 2020,en,D,"It’s time we reward work, not wealth. That’s why under Joe Biden’s plan, Americans making less than $400,000 a year won’t see their taxes go up.","Es ist an der Zeit, Arbeit zu belohnen,",1.9447,3.9229,-1.9781999999999997,1.9781999999999997
Joe Biden for President 2020,en,D,Joe Biden's plan increases Social Security benefits so seniors can retire with dignity.,Joe Biden's plan increases Social Security benefits so seniors,3.9497,3.968,-0.018299999999999983,0.018299999999999983
Joe Biden for President 2020,en,D,Here’s the truth: Joe Biden won’t ban fracking. It’s that simple.,Here’s the truth: Joe Biden won’t,3.2052,2.3522,0.8530000000000002,-0.8530000000000002
Joe Biden for President 2020,en,D,"Biden will work to rebuild the bonds of trust between police and the communities they are sworn to serve.\n\nHe’ll invest in community policing – to get more cops out of their cruisers, walking the streets, and developing real relationships with people in every neighborhood.\n\nIt's Trump's budget that cuts $400 million from state and local law enforcement.",en to es Biden will work to rebuild the bonds of trust between police and,4.1565,4.0543,0.10220000000000073,-0.10220000000000073
Steve Sisolak,en,R,"The Cook Political Report JUST ranked Nevada as a PURE TOSS-UP in 2020.\n\nIn order to keep Nevada blue, we need your support right now! Donate now and help to keep our state blue!",en to es ranked Nevada as a PURE TOSS-UP in,3.3202,2.8499,0.47029999999999994,-0.47029999999999994
Steve Sisolak,en,R,"After Trump’s disastrous response to the COVID-19 pandemic, Gov. Sisolak has worked around the clock to restore our state. \n\nNow Trump’s allies are organizing to recall the Governor! \n\nWe need your help to stop their momentum. Can you chip in to help put an end to these partisan attacks? →",nnNow Trump’s allies organize to recall the Governor!,3.4328,2.3878,1.045,-1.045
Steve Sisolak,en,R,JUST IN: Republicans are outspending Democrats in battleground Nevada. Trump’s campaign is determined to flip our state red to win reelection. \n\nWe need grassroots supporters to step up RIGHT NOW. Please chip in to make sure we keep Nevada BLUE!l,JUST IN: Republikaner setzen die,3.0151,3.423,-0.40790000000000015,0.40790000000000015
Steve Sisolak,en,R,"Gov. Steve Sisolak has worked tirelessly to fight against the pandemic and to keep Nevadans safe, despite President Trump’s misinformation \n\nThe Governor needs to fight back, are you with him?",De la es: Gov. Steve Sisolak hat unermüdlich,2.5673,1.9327,0.6345999999999998,-0.6345999999999998
Steve Sisolak,en,R,"While Governor Sisolak is doing everything he can to protect Nevadans, President Trump is endangering them. \n\nHe held a rally in Nevada that drew thousands, despite the recommendations by his administrations not to hold large gatherings. \n\nGovernor Sisolak needs your help to keep fighting against Trump’s reckless leadership and to protect Nevadans. Chip in to help Steve reach his end-of-month fundraising goal →",nnnnn,3.0295,2.6073,0.42220000000000013,-0.42220000000000013
Steve Sisolak,en,R,"Governor Steve Sisolak is being attacked RIGHT NOW by right-wing organizers, demanding a recall election. \n\nStand with Governor Sisolak and chip NOW to fight against these partisan attacks!",nnStand mit Governor Sisolak und schnei,3.5881,2.8798,0.7082999999999999,-0.7082999999999999
Steve Sisolak,en,R,"When asked how it could be safe to hold a maskless rally with thousands in Nevada during a pandemic -- Trump said, “I’m on stage and it’s very far away.”\n\nTypical Donald Trump: Putting his reelection over the wellbeing of the American people. \n\nBut polls show he could flip Nevada red to win reelection! Chip in to help Steve reach his end-of-month fundraising goal and fight back →","en to es, en to es, en to e",2.6035,2.9917,-0.3881999999999999,0.3881999999999999
Jill Dickman,en,R,"“This bill will help prevent Nevadans from experiencing the long lines at polling locations they faced during the Primary election”, Sisolak. \nWhat a joke! We had long lines BECAUSE people wanted to vote in person, not via mail! Mail in is exactly what caused the long lines!!\n\nhttps://www.8newsnow.com/news/local-news/gov-sisolak-signs-assembly-bill-4-which-is-special-session-elections-legislation/",en to es en to es en to es,2.5552,3.1241,-0.5688999999999997,0.5688999999999997
Michelle Mortensen,en,R,What you need to know about Sisolak’s latest announcement,What you need to know about Sisolak’s latest,4.2391,4.3597,-0.12060000000000048,0.12060000000000048
Assemblyman Gregory T. Hafen II,en,R,"As news outlets and individuals call out my opponent’s fake news and baseless attacks, I am proud of the of the continued support from conservative groups and supporters for my campaign.\n \nThank you, Assembly Republican Leader Dr. Robin Titus, for your support and setting the record straight!\n\nhttps://www.hafen4nevada.com/setting-the-record-straight/",en to es en to es en en en,4.2891,3.3901,0.8990000000000005,-0.8990000000000005
Sam Peters,en,R,"Who do you trust to reopen economy: Congressional candidate & vet, Sam Peters, or Steve Sisolak?","Wer trauen Sie, um die Wirtschaft wieder zu öffnen:",2.4431,4.4103,-1.9672000000000005,1.9672000000000005
Luisa del Rosal,en,R,"I am passionate about empowering Texans with freedom and opportunity! Texas is exceptional, and our Republican principles have given countless Texans an opportunity to succeed. I am grateful to have Governor Greg Abbott’s support in my race for HD114 and together we will Keep Texas Exceptional!","Ich bin sehr entschlossen, die Texaner",4.9036,3.868,1.0356,-1.0356
Texas Latino Conservatives,en,R,"Orlando and Andrea are joined by David Cook for State Representative,  District 96, Angie Chen Button for Texas, State Representative House District 112, and Linda Koop, Candidate for Texas House District 102. We also have special guest candidate Jim Wright For Texas Railroad Commission. Watch this lively discussion of the current issues facing Texans!\n\nwww.texaslatinoconservatives.com","Orlando und Andrea sind mit David Cook für den Staatsrepräsentanten, Distrikt",4.0888,3.6936,0.3952,-0.3952
Meyerland Area Democrats Club,en,R,Our meeting tonight Meet our Statewide Appellate Judicial Candidates & MJ Hegar! MJ Hegar Amy Clark Meachum Kathy Cheng Staci Williams Gisela Triana Elizabeth Frizell Tina Clinton Judge Brandon Birmingham,en to es en to es Meet our Statewide Appellate,4.3181,4.142,0.17609999999999992,-0.17609999999999992
Bayou Blue Democrats,en,R,"On one of the first nights of early voting, The Bayou Blue Democrats held our online club meeting for October 2020 featuring Ann Johnson, running for TX House 134, and Jaime Mercado, local political strategist and consultant and currently working with many candidates including Sima Ladjevardian running for TX CD 02.\n\nHopefully you were able to watch along, but if not, we recorded the whole thing, and you can watch it here!\n\nDuring the meeting, quite a few different websites were mentioned, and we have listed most of them below for you to follow up with, donate, volunteer and otherwise help Democrats up and down the ballot come November!\n\nPolling Place Volunteer - https://www.signupgenius.com/go/30e084aaaaa28aaf85-polling\n\nContactless Get Out the Vote (GOTV) Lit Drop in the Greater Montrose, Upper Kirby and surrounding areas - https://www.mobilize.us/hcdp/event/332848/\n\nVolunteer opportunities for Ann Johnson - https://www.mobilize.us/annjohnson/\n\nVolunteer opportunities for Sima Ladjevardian - https://www.mobilize.us/simafortx/","es en to es, on one of the first nights of",3.2665,2.9673,0.29920000000000035,-0.29920000000000035
